date,copper,exports,bci,pmi,copper_3m,pmi_z,exports_z,bci_z,pulse
2017-01-01,5754.559523809524,-0.629664,2.6,51.3,0.21628428940230382,0.6787532972764634,-0.1442286022633906,0.6739245632509878,0.40281641942135354
2017-02-01,5940.9125,-0.9419876,3.2,51.6,0.08988934335664056,0.858555495230497,-0.17339008604101305,0.8533719321639728,0.5128457804511523
2017-03-01,5824.630434782609,10.314,3.6,51.8,0.02902301708951005,0.9784236271998485,0.8775753222679313,0.9730035114392961,0.9430008203023587
2017-04-01,5683.902777777778,-4.365925,2.4,51.2,-0.012278393461637283,0.6188192312917897,-0.4930812491349796,0.6141087736133262,0.2466155852567121
2017-05-01,5599.559523809524,-1.096501,2.4,51.2,-0.057458004336956026,0.6188192312917897,-0.18781691772304185,0.6141087736133262,0.34837036239402464
2017-06-01,5719.761363636364,2.41178,3.4,51.7,-0.018004416300818726,0.9184895612151749,0.13974936119037057,0.9131877218016343,0.6571422147357265
2017-07-01,5985.119047619048,-1.795301,2.8,51.4,0.052994620354684496,0.7386873632611413,-0.25306349167327347,0.7337403528886494,0.40645474149217237
2017-08-01,6485.625,0.6722743,3.4,51.7,0.1582384243658621,0.9184895612151749,-0.02266733499151186,0.9131877218016343,0.6030033160084325
2017-09-01,6577.166666666667,-0.1334362,4.8,52.4,0.14990228586830479,1.3380280231079116,-0.09789608387635461,1.3318982492652658,0.8573433961656076
2017-10-01,6807.602272727273,-0.4803192,3.2,51.6,0.1374213643144524,0.858555495230497,-0.13028435993757126,0.8533719321639728,0.5272143558189661
2017-11-01,6826.545454545455,6.451617,3.6,51.8,0.05256555143805808,0.9784236271998485,0.5169467332100929,0.9730035114392961,0.8227912906164124
2017-12-01,6833.894736842105,2.740686,3.2,51.6,0.039033231661369516,0.858555495230497,0.17045913459001985,0.8533719321639728,0.6274621873281633
2018-01-01,7065.852272727273,-4.277369,2.6,51.3,0.037935529963994075,0.6787532972764634,-0.48481282383054825,0.6739245632509878,0.2892883455656343
2018-02-01,7006.525,29.78037,0.6,50.3,0.026364659351195696,0.07941263742969298,2.6951396464630815,0.07576666687437142,0.950106316922382
2018-03-01,6799.178571428571,-24.48351,3.0,51.5,-0.005079997095415623,0.7986214292458191,-2.371449161846157,0.7935561425263111,-0.2597571966913423
2018-04-01,6851.5125,9.056644,2.8,51.1,-0.030334595807299913,0.5588851653071119,0.7601766799729006,0.7337403528886494,0.6842673993895539
2018-05-01,6825.27380952381,-0.1114644,3.8,51.9,-0.025868913687768114,1.0383576931845264,-0.09584458892283472,1.0328193010769575,0.658444135112883
2018-06-01,6965.857142857143,1.546847,3.0,51.5,0.024514515934172865,0.7986214292458191,0.05899103985880834,0.7935561425263111,0.5503895372103128
2018-07-01,6250.75,-2.514095,2.4,51.2,-0.08768319403927227,0.6188192312917897,-0.32017689447233305,0.6141087736133262,0.30425037014426093
2018-08-01,6051.045454545455,-0.6119536,2.6,51.3,-0.11343550113667489,0.6787532972764634,-0.14257499189806694,0.6739245632509878,0.4033676228764614
2018-09-01,6050.7625,5.511071,1.6,50.8,-0.13136856299091493,0.37908296735307817,0.4291284674078683,0.37484561506267966,0.3943523499412087
2018-10-01,6219.586956521739,-2.066446,0.4,50.2,-0.00498548869787796,0.019478571445019355,-0.2783801520821681,0.01595087723670979,-0.08098356780014632
2018-11-01,6195.920454545455,-1.711648,0.0,50.0,0.023942143731736865,-0.10038956052433642,-0.24525285679826098,-0.1036807020386135,-0.14977437312040362
2018-12-01,6075.315789473684,-5.436186,-1.2,49.4,0.004057883526858763,-0.4599939564323995,-0.5930109335690793,-0.4625754398645833,-0.5051934432886874
2019-01-01,5939.102272727273,7.137663,-1.0,49.5,-0.04509699530776001,-0.4000598904477216,0.5810024731532248,-0.40275965022692173,-0.0739390225071395
2019-02-01,6300.4875,-6.334088,-1.6,49.2,0.01687675725046356,-0.579862088401751,-0.6768475524057435,-0.5822070191399067,-0.6129722199824671
2019-03-01,6439.464285714286,10.80175,1.0,50.5,0.05993902356014802,0.19928076939904876,0.9231162731039724,0.1953982461496947,0.4392650962175719
2019-04-01,6438.3625,-8.224488,0.2,50.1,0.08406324800388787,-0.040455494539658535,-0.8533531668812985,-0.043864912400951854,-0.3125578579406363
2019-05-01,6017.904761904762,4.788001,-1.2,49.4,-0.044850932264406174,-0.4599939564323995,0.3616158168265947,-0.4625754398645833,-0.1869845264901294
2019-06-01,5882.225,-0.03096309,-1.2,49.4,-0.0865350378525277,-0.4599939564323995,-0.088328225620022,-0.4625754398645833,-0.3369658739723349
2019-07-01,5941.195652173913,-0.346674,-0.6,49.7,-0.07721945569639599,-0.2801917584783658,-0.11780598068042544,-0.2831280709515984,-0.2270419367034632
2019-08-01,5709.440476190476,-1.508284,-1.0,49.5,-0.051257754636956476,-0.4000598904477216,-0.22626487130196035,-0.40275965022692173,-0.34302813732553455
2019-09-01,5759.25,0.09376992,-0.4,49.8,-0.020906204709952525,-0.2202576924936922,-0.0766819726706803,-0.22331228131393677,-0.17341731549276976
2019-10-01,5757.297826086957,0.4324371,-1.4,49.3,-0.030952999506028256,-0.5199280224170774,-0.045060803231088985,-0.522391229502245,-0.3624600183834705
2019-11-01,5859.952380952381,-0.9967186,0.4,50.2,0.026361936058282742,0.019478571445019355,-0.17850028958833722,0.01595087723670979,-0.04769028030220269
2019-12-01,6077.0625,2.834809,0.4,50.2,0.05518296653210064,0.019478571445019355,0.17924734764084646,0.01595087723670979,0.0715589321075252
2020-01-01,6031.209090909091,-3.911031,0.0,50.0,0.04757635840567631,-0.10038956052433642,-0.45060804505582014,-0.1036807020386135,-0.21822610253959
2020-02-01,5687.75,-44.3955,-28.6,35.7,-0.029386310631485668,-8.67096099633315,-4.230620781810772,-8.657338620224229,-7.186306799456051
2020-03-01,5182.631818181818,77.709,4.0,52.0,-0.14718141895334824,1.0982917591692043,7.170209625896812,1.0926350907146194,3.1203788252602123
2020-04-01,5057.972,3.368276,1.6,50.8,-0.16136682980798367,0.37908296735307817,0.2290568697723694,0.37484561506267966,0.32766181739604244
2020-05-01,5239.826315789474,0.9071797,1.2,50.6,-0.07875235096664335,0.25921483538372664,-0.0007343462216081027,0.2552140357873563,0.17123150831649162
2020-06-01,5754.595454545455,-0.9495701,1.8,50.9,0.1103616186581231,0.43901703333775605,-0.17409805992048877,0.43466140470034126,0.2331934593725362
2020-07-01,6372.460869565217,8.400572,2.2,51.1,0.25988456827464,0.5588851653071119,0.6989195960223048,0.5542929839756646,0.6040325817683604
2020-08-01,6508.392857142857,1.723042,2.0,51.0,0.24210087604063069,0.4989510993224339,0.07544227067901592,0.4944771943380029,0.3562901881131509
2020-09-01,6704.9,-1.548225,3.0,51.5,0.1651383755749356,0.7986214292458191,-0.22999414063531207,0.7935561425263111,0.45406114371227274
2020-10-01,6713.811363636364,3.730709,2.8,51.4,0.05356651081239794,0.7386873632611413,0.2628970408320493,0.7337403528886494,0.5784415856606132
2020-11-01,7068.907142857143,6.761732,4.2,52.1,0.08612176585178499,1.1582258251538822,0.5459020012132069,1.152450880352281,0.95219290223979
2020-12-01,7772.238095238095,-0.2832195,3.8,51.9,0.15918777241093762,1.0383576931845264,-0.11188126870743607,1.0328193010769575,0.6530985751846826
2021-01-01,7972.1475,3.05633,2.6,51.3,0.18742500618636537,0.6787532972764634,0.19993064230030447,0.6739245632509878,0.5175361676092519
2021-02-01,8470.94,11.33678,1.2,50.6,0.19833799324405565,0.25921483538372664,0.9730717316909677,0.2552140357873563,0.49583353428735016
2021-03-01,8988.247826086958,-10.24274,3.8,51.9,0.15645554291419472,1.0383576931845264,-1.041796252697273,1.0328193010769575,0.343126913854737
2021-04-01,9324.8175,6.516896,2.2,51.1,0.16967448231483417,0.5588851653071119,0.5230417977505869,0.5542929839756646,0.5454066490111211
2021-05-01,10166.285,-1.802836,2.0,51.0,0.2001365846057226,0.4989510993224339,-0.2537670305037185,0.4944771943380029,0.24655375438557278
2021-06-01,9631.5,1.686619,1.8,50.9,0.07156591433161252,0.43901703333775605,0.072041475082294,0.43466140470034126,0.3152399710401304
2021-07-01,9450.820454545456,-0.5326738,0.8,50.4,0.013512645641102994,0.13934670341437086,-0.13517268031612706,0.13558245651203307,0.04658549320342562
2021-08-01,9370.138571428572,5.003688,0.2,50.1,-0.07831242470296951,-0.040455494539658535,0.38175439409563244,-0.043864912400951854,0.09914466238500735
2021-09-01,9324.709545454543,1.374949,-0.8,49.6,-0.031852821943150755,-0.34012582446304374,0.042941017579333635,-0.3429438605892601,-0.21337622249099006
2021-10-01,9829.219047619048,4.07589,-1.6,49.2,0.04003870297753864,-0.579862088401751,0.2951264020837879,-0.5822070191399067,-0.2889809018192899
2021-11-01,9728.904545454545,1.150088,0.2,50.1,0.03828822501301343,-0.040455494539658535,0.021945868945929176,-0.043864912400951854,-0.02079151266489374
2021-12-01,9551.18,-0.01409845,0.6,50.3,0.024287132316722193,0.07941263742969298,-0.0867535834035022,0.07576666687437142,0.022808573633520735
2022-01-01,9782.3375,3.348136,0.2,50.1,-0.004769610626431664,-0.040455494539658535,0.22717640898336297,-0.043864912400951854,0.04761866734758419
2022-02-01,9943.175,-5.069542,0.4,50.2,0.022024109039651796,0.019478571445019355,-0.5587775837416484,0.01595087723670979,-0.17444937835330643
2022-03-01,10230.89391304348,-4.293346,-1.0,49.5,0.0711654385158147,-0.4000598904477216,-0.48630458758556083,-0.40275965022692173,-0.4297080427534014
2022-04-01,10174.34761904762,-1.740233,-5.2,47.4,0.040073256422365366,-1.6586752761259402,-0.24792182262019483,-1.6588912326178162,-1.1884961104546505
2022-05-01,9395.027272727271,9.112321,-0.8,49.6,-0.055128037802083085,-0.34012582446304374,0.7653752110230252,-0.3429438605892601,0.027435175323573795
2022-06-01,9067.55181818182,2.118102,0.4,50.2,-0.11370874380570994,0.019478571445019355,0.11232880689077682,0.01595087723670979,0.04925275185750199
2022-07-01,7544.809523809524,2.338395,-2.0,49.0,-0.25844783308909947,-0.6997302203711068,0.1328974438616102,-0.7018385984152299,-0.4228904583082422
